id,observed_on,Latitude,Longitude
37688394,2019-12-28,26.01110833,-80.11512783
37713613,2020-01-18,29.8541523,-81.2788079
37714667,2020-01-18,25.80745833,-80.1216055
37718128,2020-01-18,29.1547592832,-80.9700918979
37722898,2020-01-18,25.7685089111,-80.1313476563
37723304,2020-01-18,28.24216333,-80.60130333
37723978,2020-01-18,26.1117176945,-80.1040932723
37728045,2020-01-18,25.01950283,-80.49868833
37728741,2020-01-18,28.36573833,-80.60216333
37728863,2020-01-18,28.36707,-80.60186667
37728989,2020-01-18,28.36765,-80.60171333
37750563,2020-01-19,26.703929035,-80.0326285791
37752313,2020-01-19,26.6203135568,-80.020032042
37753705,2020-01-18,26.3756446838,-80.0680923462
37768942,2020-01-18,25.80737167,-80.12161383
37770696,2020-01-18,27.464643919,-80.2996663094
37817284,2020-01-19,27.4420963957,-80.2807385288
37846568,2020-01-22,29.185552597,-80.986289978
37871102,2020-01-20,24.8831952778,-80.6905453889
37921794,2020-01-24,29.1163437695,-80.9476908943
37943336,2020-01-25,28.3679404687,-80.6017946792
37945081,2020-01-25,28.1009813396,-80.5690796664
37963342,2020-01-24,28.3975868225,-80.5955657959
37963383,2020-01-24,28.397851944,-80.5936965942
37963407,2020-01-24,28.400680542,-80.5924072266
38047765,2019-02-10,24.88325833,-80.69078833
38105808,2020-01-18,28.4985234305,-80.5770036179
38147520,2020-01-29,28.7611712586,-80.7166720593
38273209,2018-02-19,27.8595239488,-80.4470221005
38376170,2020-02-06,26.7022989679,-80.0327965968
38408710,2020-01-11,24.7412625,-80.9807835
38471284,2020-02-09,25.853145,-80.1188195
38505125,2020-02-09,26.50559167,-80.050925
38515800,2020-02-08,24.8127583333,-80.8193388889
38540695,2020-02-09,26.8222027778,-80.0378416667
38543711,2020-02-11,26.05761667,-80.11151117
38550739,2020-02-10,26.3163133071,-80.0751658157
38558969,2020-02-11,25.78709667,-80.127075
38591847,2019-04-06,26.1218221156,-80.0892522018
38605006,2020-02-12,26.0734638965,-80.1101365934
38710611,2020-02-16,28.3088599722,-80.6073939722
38710701,2020-02-16,26.19236333,-80.0943445
38713887,2020-02-16,26.0583259149,-80.1133138686
38717735,2020-02-16,27.627113401,-80.3485497181
38717756,2020-02-16,27.6270895126,-80.3484976665
38729609,2020-02-16,28.0627513741,-80.5536815181
38732045,2020-02-16,25.9290792961,-80.1205196504
38732046,2020-02-16,25.9286748707,-80.1205056344
38736864,2020-02-16,28.40287167,-80.59153667
38802649,2020-02-18,27.6566619873,-80.3563232422
38805267,2020-02-18,25.6677277243,-80.1548954109
38810605,2020-02-16,26.7207813263,-80.0342254639
38810620,2020-02-16,26.7209587097,-80.0342788696
